icmp_type_code_entropy,icmp_invalid_type_ratio,icmp_non_echo_ratio,icmp_type_diversity,icmp_nonstandard_type_count,icmp_code_field_entropy,icmp_nonzero_code_ratio,icmp_bad_checksum_ratio,icmp_good_checksum_ratio,icmp_checksum_entropy,icmp_checksum_delta_mean,icmp_checksum_delta_std,ip_id_reuse_rate,icmp_seq_increment_std,icmp_seq_entropy,icmp_seq_monotone_ratio,icmp_seq_autocorr_lag1,icmp_id_reuse_rate,icmp_id_entropy,icmp_id_delta_mean,icmp_id_delta_std,icmp_id_seq_correlation,icmp_covert_id_count,icmp_payload_len_mean,icmp_payload_len_std,icmp_payload_len_entropy,icmp_payload_len_variance,icmp_nonstd_payload_ratio,payload_byte_entropy_mean,payload_byte_entropy_std,payload_compress_ratio_mean,payload_compress_ratio_std,payload_printable_ratio_mean,payload_printable_ratio_std,payload_null_byte_ratio_mean,payload_null_byte_ratio_std,payload_bigram_entropy_mean,payload_bigram_entropy_std,flow_total_bytes,flow_duration_sec,flow_bytes_per_sec,icmp_orphan_request_ratio,flow_byte_asymmetry,ip_ttl_mean,pkt_size_mean,pkt_size_std,pkt_size_max,pkt_size_median,pkt_size_entropy,pkt_size_skewness,pkt_size_kurtosis,pkt_size_coeff_variation,pkt_size_iqr,pkt_size_bin_60_240,pkt_size_bin_240_420,pkt_size_bin_420_600,pkt_size_bin_600_780,pkt_size_bin_780_960,pkt_size_bin_960_1140,pkt_size_bin_1140_1320,pkt_size_bin_1320_1442,pkt_size_trans_small_small,pkt_size_trans_small_med,pkt_size_trans_small_large,pkt_size_trans_small_xlarge,pkt_size_trans_med_small,pkt_size_trans_med_med,pkt_size_trans_med_large,pkt_size_trans_med_xlarge,pkt_size_trans_large_small,pkt_size_trans_large_med,pkt_size_trans_large_large,pkt_size_trans_large_xlarge,pkt_size_trans_xlarge_small,pkt_size_trans_xlarge_med,pkt_size_trans_xlarge_large,pkt_size_trans_xlarge_xlarge,pkt_uniform_size_ratio,flow_kl_divergence_baseline,ipt_mean,ipt_std,ipt_min,ipt_max,ipt_median,ipt_percentile_90,ipt_percentile_99,ipt_entropy,ipt_skewness,ipt_coeff_variation,ipt_iqr,ipt_autocorr_lag1,ipt_autocorr_lag2,ipt_autocorr_lag3,ipt_periodicity_score,ipt_timing_regularity,ipt_jitter_mean,ipt_jitter_std,label_technique,label_binary,label_protocol
0.71047896,0.19506156,0.19506156,1.2018821,61.29368,0.12787074,0.013544508,0.0,1.0,7.3017616,21993.242,26796.223,0.99682206,17915.1,5.9918814,0.538257,0.03359935,0.36055252,5.429924,21826.578,27886.229,0.1632144,112.871376,282.24176,400.5733,4.367761,160462.58,0.56446815,5.5743737,1.3712738,1.119345,0.084086135,0.7799591,0.29893434,0.0012729618,0.0026958159,6.0443997,2.069594,102092.75,4.9674845,20551.525,0.80493844,96870.625,128.0,324.24176,400.5733,1435.2706,74.8119,4.367761,1.4347953,0.6785724,1.2356757,408.8253,0.66918755,0.051526982,0.05652327,0.05167989,0.03427763,0.0518328,0.037455577,0.04751632,0.52201045,0.07917292,0.051162396,0.06747894,0.0820549,0.015940418,0.0072114524,0.0033411377,0.061561935,0.0031880839,0.0127523355,0.0088820215,0.056550227,0.010246483,0.012905389,0.005540883,0.43553185,4.7925286,0.015836434,0.0157024,4.901339e-05,0.09415697,0.011434002,0.036575764,0.069430806,6.3553514,1.9082834,0.9907107,0.016654257,0.028034363,0.0872234,-0.019079637,0.03193161,0.028034363,0.011458326,0.010736083,3,1,ICMP
0.6205389,0.15442939,0.15442939,0.9956207,47.76552,0.13884449,0.015037877,0.0,1.0,7.3167057,20763.355,25577.123,0.99676585,18885.13,6.2150416,0.53049695,0.040208563,0.4130037,4.9487853,19180.336,26018.438,-0.122398645,128.68138,341.87845,435.80508,4.622827,189926.1,0.58570516,5.702848,1.4118999,1.111882,0.07951293,0.7547262,0.30694503,0.0014497627,0.0025597317,6.250783,2.1576507,118696.164,4.956421,23948.062,0.84557056,114697.38,128.0,383.87845,435.80508,1426.3407,86.68137,4.622827,1.0734112,-0.3520735,1.135295,607.2103,0.61642647,0.048031352,0.034930162,0.06597426,0.058860384,0.06403758,0.05239207,0.05934773,0.43559614,0.0723536,0.07641118,0.08079252,0.06764851,0.010057714,0.010870637,0.012654843,0.085173845,0.010870637,0.020115428,0.0053526177,0.07641118,0.0064893016,0.015899494,0.013302364,0.41429484,5.622799,0.016082011,0.014931554,7.091998e-05,0.08549988,0.01167397,0.034966387,0.06733157,6.487709,1.7331314,0.9279944,0.017259836,0.08640319,0.0037451014,0.004056327,0.030711342,0.08640319,0.011151391,0.009901594,3,1,ICMP
0.523929,0.11849131,0.11849131,0.81815106,48.636395,0.16127779,0.019110948,0.0,1.0,6.7048874,21897.43,29094.29,0.9975676,21074.992,4.509808,0.5853419,0.14288186,0.003544691,6.45993,22524.162,30375.34,0.36093396,0.0,58.181236,9.927073,1.9979223,98.85638,0.45541614,0.4824018,1.0983384,0.3232742,0.25174868,0.93717104,0.14403093,0.0003105503,0.0014053242,0.49062398,1.1219025,41202.574,4.981718,8270.866,0.88150865,37171.426,255.0,100.18124,9.927073,115.52728,106.0,1.9979223,-2.4863274,6.3242455,0.09911099,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5445838,2.174036,0.012147251,0.011030703,6.829092e-05,0.067405395,0.008416855,0.02634459,0.04924649,6.553882,1.5986474,0.90844345,0.0142418,0.0009823886,0.02348778,0.025580946,0.03538088,0.0009823886,0.008517816,0.0069964803,2,1,ICMP
0.6161371,0.15298901,0.15298901,1.0002658,46.161842,0.21922664,0.026186507,0.0,1.0,7.347437,22646.71,27403.965,0.9966877,20825.955,6.053017,0.53647804,-0.061515342,0.38611573,5.1801248,20533.107,26733.914,-0.049027115,117.04046,305.60992,414.13776,4.4651012,171532.2,0.5634012,5.5807147,1.368057,1.1227437,0.09412365,0.76480055,0.30690995,0.0013048906,0.0027994232,6.0536027,2.062248,104935.64,4.9725413,21102.648,0.84701097,101044.016,128.0,347.60992,414.13776,1432.4797,75.82081,4.4651012,1.2780116,0.17764783,1.1916195,480.44073,0.63864845,0.061823063,0.054263026,0.046060253,0.047950264,0.058510773,0.03485701,0.057887137,0.47349188,0.07913317,0.07690538,0.07152918,0.079446174,0.003323299,0.009813396,0.0064900974,0.06709199,0.013136695,0.015033096,0.011553296,0.079446174,0.005063199,0.005063199,0.0034797997,0.43659875,5.2649217,0.016525393,0.01606032,0.00017117949,0.08742065,0.01134989,0.039414156,0.07160896,6.45936,1.6246123,0.9713545,0.018184016,0.03623377,0.058503285,-0.030083869,0.052355018,0.03623377,0.012169382,0.010467006,3,1,ICMP
0.49674755,0.10895818,0.10895818,0.76397747,46.476135,0.080167234,0.008360562,0.0,1.0,6.803574,14645.83,19541.914,0.9976557,2325.0854,6.8765216,0.5856222,0.35618156,0.0011203148,6.5244727,16696.693,23549.273,0.08599543,0.0,58.289097,9.704339,1.8435122,94.20082,0.46101806,0.8376982,1.3920195,0.42044753,0.31841913,0.8910019,0.18330514,0.0007268696,0.0042558294,0.8511274,1.4188718,42780.348,4.9753275,8598.485,0.8910418,38982.973,255.0,100.2891,9.704339,114.143196,106.0,1.8435122,-2.6538703,7.2539997,0.09676518,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5389819,2.2839408,0.011691039,0.010770774,9.638186e-05,0.07125485,0.00855648,0.02477428,0.056462597,6.4045863,2.0790148,0.9210925,0.011757756,-0.034568943,-0.004802473,0.03671951,0.022645298,-0.034568943,0.0077750334,0.0074511915,2,1,ICMP
-1.4426951e-10,0.0,0.0,-1.4426951e-10,0.0,0.0,0.0,0.0,1.0,5.345984,19814.146,23730.318,0.9936306,17286.605,2.4990392,0.60897434,-0.5686067,0.0,2.4990392,15287.712,17286.605,1.0,0.0,43.554142,13.966473,3.3127458,195.06236,0.56050956,1.9492567,2.481135,0.6893637,0.5308268,0.756183,0.30754805,0.0021400917,0.0075857895,1.9865229,2.5418017,13432.0,4.95239,2712.2258,1.0,13432.0,64.0,85.55414,13.966473,122.0,82.0,3.3127458,0.27438262,0.045407034,0.16324718,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43949044,1.2304035,0.03174609,0.018140681,0.000162,0.077795,0.0317125,0.0529555,0.07078675,6.5543823,0.15523775,0.5714304,0.02928425,-0.41937512,0.2515282,-0.07326025,0.07403315,-0.41937512,0.01514141,0.0099910945,1,1,ICMP
0.17867714,0.026915114,0.026915114,0.2469147,52.0,0.07194026,0.0067287786,0.11490683,0.88509315,7.769485,19423.662,24139.31,0.9994824,15954.303,5.8794823,0.554117,0.03272691,0.06780538,6.5934896,17074.781,23898.586,0.32602033,118.0,174.6972,312.66824,3.5030003,97761.42,0.5367495,1.6922382,2.3320525,0.64784443,0.5173835,0.7803768,0.30386886,0.0013138845,0.005945683,1.7197676,2.3803475,418659.0,4.99887,83750.73,0.97308487,414235.0,64.0,216.6972,312.66824,1442.0,82.0,3.5030003,2.626102,5.928203,1.4428807,61.0,0.81935817,0.042960662,0.04761905,0.004140787,0.010869565,0.039337475,0.0077639753,0.027950311,0.74365616,0.04298291,0.043500777,0.032107715,0.047125842,0.002589332,0.0,0.0020714656,0.045572244,0.0015535991,0.0031071983,0.0,0.02589332,0.0046607973,0.0036250646,0.0015535991,0.46325052,2.6669888,0.0025887468,0.0019234823,2e-06,0.031854,0.002054,0.004658,0.0093744,5.3110113,3.5448394,0.7430168,0.00171,-0.02513165,0.021290192,-0.029213974,0.0076585696,-0.02513165,0.0013002658,0.0014174248,1,1,ICMP
0.5931028,0.14455801,0.14455801,0.9569125,44.087513,0.20121929,0.024358565,0.0,1.0,7.3581014,21778.732,26322.67,0.99672985,18309.344,5.9920897,0.5392022,-0.028114969,0.37324604,5.2743025,20640.885,26966.135,0.095151514,114.55105,306.2651,419.3043,4.32119,175816.53,0.54035985,5.5532374,1.3648579,1.1219038,0.0883585,0.77884215,0.30186597,0.0013355934,0.004178176,6.0205874,2.0726447,106500.45,4.948926,21520.914,0.855442,102749.76,128.0,348.2651,419.3043,1430.0292,75.77553,4.32119,1.2705321,0.13212426,1.2044176,503.43277,0.64964515,0.051414177,0.04578232,0.050296318,0.0489407,0.05761915,0.037551012,0.0587512,0.48014608,0.07037078,0.082134835,0.06901124,0.07534831,0.006449435,0.006561798,0.006449435,0.072404504,0.009842697,0.013235958,0.011426965,0.07376405,0.009730333,0.0033932622,0.009730333,0.45964015,5.087418,0.016238905,0.016015653,8.737283e-05,0.088697955,0.011242629,0.037843313,0.072371945,6.44022,1.7655299,0.98503196,0.016972022,0.051653765,0.048531257,0.03947839,0.047407072,0.051653765,0.011868126,0.010753817,3,1,ICMP
0.46180657,0.09774817,0.09774817,0.6964346,30.008095,0.2394988,0.029308649,0.0,1.0,7.28994,21851.97,26106.684,0.9967426,17475.984,6.2124596,0.5392172,3.5449862e-05,0.41041744,4.986716,20244.693,27145.805,-0.13919711,126.99653,341.07864,442.64896,4.4862223,195938.08,0.54072964,5.579057,1.3654357,1.1195515,0.07765979,0.77339613,0.30124015,0.0016063458,0.003217186,6.044846,2.0520546,117603.586,4.9696913,23664.166,0.90225184,115133.0,128.0,383.07864,442.64896,1429.004,74.00116,4.4862223,1.1330721,-0.22071892,1.155504,585.0262,0.6091288,0.055363778,0.052117966,0.06839134,0.042355485,0.042355485,0.048864447,0.08142276,0.44117472,0.06862452,0.07516635,0.081696585,0.07842664,0.022864526,0.0065379697,0.013074006,0.05229989,0.013070139,9.667128e-06,0.019608108,0.09149677,0.016343959,0.0032718848,0.01633429,0.4592703,5.6598706,0.016241042,0.014120195,0.00013096127,0.072446294,0.011924358,0.035938445,0.068392456,6.5789614,1.4778414,0.8694127,0.016629046,0.025876068,4.5128167e-05,-0.026450193,0.027616538,0.025876068,0.01080287,0.009092703,3,1,ICMP
0.4883102,0.10647905,0.10647905,0.7540598,41.04838,0.18480213,0.020779556,0.0,1.0,6.802932,15196.125,20265.521,0.99740255,4380.5,6.27396,0.5612155,0.2269996,0.000780851,6.562514,17675.027,23662.848,0.066395566,0.0,58.226833,9.365003,1.9615363,88.22412,0.4932272,0.56736875,1.1638535,0.3484585,0.2719984,0.92656195,0.14987318,0.00038780837,0.0017549377,0.5757228,1.1811789,38593.668,4.9837656,7743.618,0.89352095,35085.184,255.0,100.22683,9.365003,116.22903,106.0,1.9615363,-2.5455093,7.3025575,0.0934626,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50677276,2.1903155,0.012978352,0.013364001,3.1488693e-05,0.103020266,0.0087622665,0.028699229,0.057195313,6.121343,2.4175558,1.0305202,0.012921487,0.02037339,-0.0033849478,0.015967913,0.044364076,0.02037339,0.009437775,0.009454926,2,1,ICMP
