fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_binary,label_protocol,label_technique
90,90,90.0,0.0,90,90,90.0,0.0,40,0.043263,0.0216315,0.043263,0.0,0.0216315,0.0,0.0,0.0,0.0,0.0,44967,123,2,180,6240.898689411275,69.34331877123638,46.22887918082426,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.046713,0.0233565,0.046713,0.0,0.0233565,0.0,0.0,0.0,0.0,0.0,60009,123,2,180,5779.975595658597,64.22195106287329,42.81463404191553,2,180,0,UDP,0
342,342,342.0,0.0,342,342,342.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,67,2,684,0.0,0.0,0.0,2,684,0,UDP,0
342,342,342.0,0.0,342,342,342.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,68,2,684,0.0,0.0,0.0,2,684,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.054561,0.0272805,0.054561,0.0,0.0272805,0.0,0.0,0.0,0.0,0.0,59231,123,2,180,4948.589651949194,54.98432946610216,36.65621964406811,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.062432,0.031216,0.062432,0.0,0.031216,0.0,0.0,0.0,0.0,0.0,41636,123,2,180,4324.705279343926,48.05228088159918,32.03485392106612,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.047685,0.0238425,0.047685,0.0,0.0238425,0.0,0.0,0.0,0.0,0.0,55613,123,2,180,5662.157911292859,62.912865681031775,41.94191045402118,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.067625,0.0338125,0.067625,0.0,0.0338125,0.0,0.0,0.0,0.0,0.0,60779,123,2,180,3992.60628465804,44.36229205175601,29.574861367837336,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,60,15.264204,5.088068,15.208907,0.0,7.156549493878225,15.208907,7.6044535,15.208907,0.0,7.6044535,60385,123,3,270,23.58459045751747,0.2620510050835274,0.1965382538126455,3,270,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.050081,0.0250405,0.050081,0.0,0.0250405,0.0,0.0,0.0,0.0,0.0,38854,123,2,180,5391.266148838881,59.9029572093209,39.935304806213935,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.27554,0.13777,0.27554,0.0,0.13777,0.0,0.0,0.0,0.0,0.0,33816,123,2,180,979.8940262756768,10.887711403063076,7.258474268708717,2,180,0,UDP,0
87,87,87.0,0.0,87,87,87.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5353,5353,2,174,0.0,0.0,0.0,2,174,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,60,15.296113,5.098704333333333,15.25009,0.0,7.17813823328335,15.25009,7.625045,15.25009,0.0,7.625045,38046,123,3,270,23.53539098462465,0.2615043442736073,0.1961282582052054,3,270,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.045649,0.0228245,0.045649,0.0,0.0228245,0.0,0.0,0.0,0.0,0.0,49099,123,2,180,5914.696926548227,65.71885473942474,43.81256982628316,2,180,0,UDP,0
89,89,89.0,0.0,281,89,153.0,90.50966799187808,40,0.005967,0.0029835,0.005967,0.0,0.0029835,0.0,0.0,0.0,0.0,0.0,33918,53,2,178,76923.07692307692,502.7652086475616,335.1768057650411,2,178,0,UDP,0
89,89,89.0,0.0,425,89,201.0,158.39191898578665,40,0.005706,0.002853,0.005706,0.0,0.002853,0.0,0.0,0.0,0.0,0.0,53803,53,2,178,105678.2334384858,525.7623554153522,350.5082369435682,2,178,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.044985,0.0224925,0.044985,0.0,0.0224925,0.0,0.0,0.0,0.0,0.0,59557,123,2,180,6002.000666888964,66.68889629876627,44.459264199177504,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.048962,0.024481,0.048962,0.0,0.024481,0.0,0.0,0.0,0.0,0.0,53223,123,2,180,5514.480617621829,61.27200686246477,40.848004574976514,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.051464,0.025732,0.051464,0.0,0.025732,0.0,0.0,0.0,0.0,0.0,46466,123,2,180,5246.385823099642,58.29317581221824,38.8621172081455,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.204732,0.102366,0.204732,0.0,0.102366,0.0,0.0,0.0,0.0,0.0,59978,123,2,180,1318.7972569017056,14.653302854463396,9.768868569642263,2,180,0,UDP,0
